methods,frequency
org/joda/time/base/BasePeriod.checkPeriodType,6
org/joda/time/convert/ReadableIntervalConverter.<init>,4
java/lang/Math.abs,8
org/joda/time/DateTimeField.getLeapDurationField,224
org/joda/time/DateTimeField.roundHalfFloor,8
org/joda/time/format/DateTimeFormatterBuilder.appendMinuteOfHour,6
org/joda/time/convert/CalendarConverter.getChronology,52
org/joda/time/field/SkipDateTimeField.getMaximumValue,6
java/lang/String.endsWith,196
org/joda/time/chrono/ZonedChronology.localToUTC,6
org/joda/time/chrono/BasicGJChronology.getMinimumDaysInFirstWeek,12
org/joda/time/PeriodType.weeks,2
org/joda/time/chrono/BasicChronology.access$100,16
java/util/ArrayList.add,2072
org/joda/time/field/PreciseDateTimeField.<init>,144
org/joda/time/DateTimeZone.parseOffset,2
org/joda/time/tz/UTCProvider.<init>,144
org/joda/time/format/PeriodFormatterBuilder$Composite.decompose,4
org/joda/time/DateTimeField.roundFloor,2940
org/joda/time/chrono/BasicChronology.getYearMillis,8832
org/joda/time/format/DateTimeFormatterBuilder$Composite.decompose,400
java/lang/String.equals,226
java/lang/ArithmeticException.<init>,2
org/joda/time/base/AbstractPartial.<init>,468
org/joda/time/base/AbstractPartial.getField,44
org/joda/time/chrono/BasicMonthOfYearDateTimeField.set,14
org/joda/time/field/BaseDateTimeField.getAsShortText,30
org/joda/time/DateTimeField.getMaximumTextLength,14
org/joda/time/chrono/BasicChronology.getTotalMillisByYearMonth,3196
org/joda/time/chrono/JulianChronology.dayOfYear,6
org/joda/time/format/ISODateTimeFormat$Constants.dateParser,6
org/joda/time/field/PreciseDurationDateTimeField.roundFloor,222
org/joda/time/chrono/GJDayOfWeekDateTimeField.<init>,24
org/joda/time/base/AbstractDateTime.getMillis,42
org/joda/time/chrono/BasicChronology.weekyears,8
org/joda/time/LocalTime.<init>,6
java/lang/StringBuffer.<init>,18
org/joda/time/DateTimeUtils.checkPermission,240
java/util/Locale.getLanguage,6
org/joda/time/chrono/AssembledChronology.assemble,58
org/joda/time/format/InternalParser.parseInto,14762
java/util/Set.size,14
org/joda/time/IllegalFieldValueException.<init>,60
java/lang/Object.equals,112
org/joda/time/format/ISODateTimeFormat$Constants.hourElement,36
org/joda/time/chrono/BasicGJChronology.assemble,18
org/joda/time/Instant.equals,52
org/joda/time/format/ISODateTimeFormat$Constants.secondElement,30
org/joda/time/field/DelegatedDateTimeField.<init>,78
org/joda/time/base/BasePeriod.<init>,6
org/joda/time/ReadableInstant.get,42
org/joda/time/YearMonth.<init>,2
org/joda/time/chrono/JulianChronology.minuteOfHour,6
org/joda/time/chrono/JulianChronology.clockhourOfHalfday,6
org/joda/time/format/ISODateTimeFormat$Constants.hourMinuteSecondFraction,18
java/util/Set.iterator,14
org/joda/time/chrono/BasicFixedMonthChronology.assemble,6
org/joda/time/format/ISODateTimeFormat$Constants.ordinalDateTime,6
org/joda/time/format/DateTimeParserBucket$SavedField.init,2244
org/joda/time/DateTimeZone.getConvertedId,62
org/joda/time/chrono/BasicChronology.getWeekyear,18
org/joda/time/format/InternalParser.estimateParsedLength,2492
org/joda/time/format/ISODateTimeFormat.dateTimeParser,254
org/joda/time/field/AbstractReadableInstantFieldProperty.<init>,766
org/joda/time/Chronology.get,2
org/joda/time/DurationFieldType.<init>,314
org/joda/time/DateTimeFieldType.era,32
org/joda/time/format/DateTimeFormatterBuilder.appendFractionOfHour,6
org/joda/time/chrono/BasicChronology.getYear,3686
org/joda/time/format/DateTimeFormat.parseToken,8
org/joda/time/LocalDateTime.getChronology,3616
org/joda/time/field/DelegatedDateTimeField.set,2
org/joda/time/chrono/BasicChronology.days,16
org/joda/time/base/AbstractInstant.compareTo,2
org/joda/time/chrono/GregorianChronology.eras,12
org/joda/time/DateTimeFieldType.getName,158
org/joda/time/base/AbstractInstant.getChronology,64
org/joda/time/DateTime.getMillis,10
org/joda/time/format/ISODateTimeFormat$Constants.timeParser,6
java/lang/Object.hashCode,2122
org/joda/time/DurationFieldType.days,516
org/joda/time/chrono/GregorianChronology.getInstance,42
org/joda/time/DateTimeFieldType.access$2000,2
org/joda/time/DateTimeZone.getDefaultProvider,144
org/joda/time/chrono/BaseChronology.hourOfDay,4
org/joda/time/field/PreciseDateTimeField.get,1566
org/joda/time/field/PreciseDurationDateTimeField.<init>,240
org/joda/time/format/DateTimeParserBucket$SavedState.restoreState,2250
org/joda/time/format/ISODateTimeFormat$Constants.hourMinute,12
org/joda/time/format/PeriodFormatterBuilder.appendSeparator,2
java/util/concurrent/ConcurrentHashMap.put,12
org/joda/time/convert/ConverterManager.<init>,4
java/lang/System.currentTimeMillis,6
java/util/Set.toArray,14
org/joda/time/DateTimeFieldType.yearOfCentury,36
org/joda/time/chrono/BasicChronology.getAverageMillisPerYear,48
java/text/DateFormatSymbols.getShortMonths,6
java/util/Collections.unmodifiableMap,10
org/joda/time/Chronology.eras,38
org/joda/time/format/DateTimeFormat.createFormatterForPattern,2
org/joda/time/chrono/GJLocaleSymbols.addSymbols,30
org/joda/time/format/DateTimeParserBucket.setOffset,2
org/joda/time/base/AbstractPartial.getChronology,44
org/joda/time/chrono/BasicGJChronology.isLeapYear,6808
org/joda/time/format/ISODateTimeFormat$Constants.monthElement,24
org/joda/time/DateTimeField.remainder,872
org/joda/time/DurationField.add,110
org/joda/time/ReadablePartial.size,20
java/lang/System.getProperty,298
org/joda/time/DateTimeComparator.<init>,918
org/joda/time/DateTimeFieldType.getDurationType,114
org/joda/time/chrono/BaseChronology.getDateTimeMillis,4
org/joda/time/base/AbstractPeriod.<init>,12
org/joda/time/Weeks.<init>,14
org/joda/time/format/PeriodFormatterBuilder$FieldFormatter.finish,14
org/joda/time/field/PreciseDurationDateTimeField.getMaximumValue,6
org/joda/time/Instant.<init>,6
org/joda/time/field/DividedDateTimeField.<init>,72
org/joda/time/chrono/BasicYearDateTimeField.roundFloor,168
org/joda/time/field/DelegatedDateTimeField.getMinimumValue,26
org/joda/time/chrono/CopticChronology.getBase,12
java/lang/System.getSecurityManager,480
org/joda/time/format/DateTimeFormatterBuilder.isParser,470
org/joda/time/DateTimeFieldType.access$1100,2
org/joda/time/field/UnsupportedDurationField.<init>,16
org/joda/time/PeriodType.years,2
org/joda/time/DateTimeFieldType.weekOfWeekyear,36
org/joda/time/chrono/BasicChronology$HalfdayField.<init>,16
java/lang/String.valueOf,138
org/joda/time/chrono/BasicChronology.weeks,16
java/lang/String.startsWith,426
org/joda/time/format/ISODateTimeFormat$Constants.dateTime,6
java/lang/String.concat,144
