FileName,NumberOfLinesAdded,NumberOLinesDeleted,NumberOfLinesChangedTotal,NumberOfAuthors,NumberOfCommits,NumberOfCommitsOnlyForBugFix,AvgLinesAddedPerCommit,AvgLinesDeletedPerCommit,AvgLinesChangedPerCommit
src/test/resources/PositiveCase1.java,43.0,43.0,104.0,1.0,5.0,1.0,8.6,8.6,20.8
src/main/java/com/google/errorprone/CommandLineReporter.java,54.0,54.0,108.0,1.0,2.0,1.0,27.0,27.0,54.0
src/main/java/com/google/errorprone/ErrorFindingCompiler.java,368.0,470.0,1111.0,3.0,19.0,2.0,19.37,24.74,58.47
src/main/java/com/google/errorprone/matchers/DeadExceptionMatcher.java,115.0,115.0,303.0,1.0,11.0,3.0,10.45,10.45,27.55
src/main/java/com/google/errorprone/LogReporter.java,95.0,160.0,288.0,3.0,11.0,3.0,8.64,14.55,26.18
src/test/resources/NegativeCase1.java,31.0,31.0,67.0,1.0,4.0,2.0,7.75,7.75,16.75
src/main/java/com/google/errorprone/matchers/Matchers.java,283.0,387.0,877.0,4.0,16.0,2.0,17.69,24.19,54.81
src/main/java/com/google/errorprone/matchers/IsSubtypeOf.java,40.0,78.0,120.0,3.0,5.0,0.0,8.0,15.6,24.0
src/main/java/com/google/errorprone/matchers/Not.java,36.0,36.0,72.0,1.0,2.0,1.0,18.0,18.0,36.0
src/main/java/com/google/errorprone/matchers/ParentNodeIs.java,51.0,51.0,116.0,1.0,4.0,0.0,12.75,12.75,29.0
src/main/java/com/google/errorprone/matchers/Same.java,42.0,79.0,125.0,2.0,4.0,1.0,10.5,19.75,31.25
src/main/java/com/google/errorprone/matchers/TreeHolder.java,46.0,46.0,92.0,1.0,2.0,1.0,23.0,23.0,46.0
src/main/java/com/google/errorprone/matchers/LastStatement.java,39.0,78.0,117.0,2.0,3.0,0.0,13.0,26.0,39.0
src/main/java/com/google/errorprone/matchers/EnclosingBlock.java,45.0,90.0,135.0,2.0,3.0,0.0,15.0,30.0,45.0
src/main/java/com/google/errorprone/matchers/StoreToBoolean.java,43.0,43.0,86.0,1.0,2.0,1.0,21.5,21.5,43.0
src/main/java/com/google/errorprone/matchers/ParentNode.java,42.0,84.0,126.0,2.0,3.0,0.0,14.0,28.0,42.0
src/main/java/com/google/errorprone/matchers/DeadExceptionChecker.java,58.0,58.0,116.0,1.0,2.0,0.0,29.0,29.0,58.0
src/main/java/com/google/errorprone/matchers/ErrorChecker.java,93.0,93.0,186.0,1.0,2.0,0.0,46.5,46.5,93.0
src/main/java/com/google/errorprone/matchers/PreconditionsCheckNotNullChecker.java,49.0,49.0,98.0,1.0,2.0,0.0,24.5,24.5,49.0
src/main/java/com/google/errorprone/checkers/PreconditionsCheckNotNullChecker.java,88.0,144.0,269.0,3.0,9.0,2.0,9.78,16.0,29.89
src/main/java/com/google/errorprone/checkers/DeadExceptionChecker.java,66.0,125.0,197.0,2.0,6.0,1.0,11.0,20.83,32.83
src/main/java/com/google/errorprone/checkers/ErrorChecker.java,117.0,217.0,357.0,4.0,9.0,3.0,13.0,24.11,39.67
src/main/java/com/google/errorprone/fixes/SuggestedFix.java,114.0,202.0,395.0,3.0,12.0,3.0,9.5,16.83,32.92
src/main/java/com/google/errorprone/ErrorProneScanner.java,212.0,315.0,663.0,4.0,21.0,1.0,10.1,15.0,31.57
src/main/java/com/google/errorprone/ErrorCollectingTreeScanner.java,56.0,109.0,169.0,3.0,6.0,0.0,9.33,18.17,28.17
src/test/resources/dead_exception/PositiveCase1.java,38.0,76.0,114.0,2.0,3.0,0.0,12.67,25.33,38.0
src/test/java/com/google/errorprone/matchers/StaticMethodMatcherTest.java,239.0,370.0,731.0,3.0,8.0,0.0,29.88,46.25,91.38
src/test/resources/dead_exception/NegativeCase1.java,28.0,56.0,84.0,2.0,3.0,0.0,9.33,18.67,28.0
